NORP	ORG	PERSON	GPE
Californians	PROP	Clinton	California
Democrats	THE BUYING POWER OF THE MINIMUM WAGE HIT	Gov Info	Sacramento
Punish	the Family and Medical Leave Act	Gore	Calif
American	VE	Tom Hayden	San Francisco
Californians	Congress	Henry Waxman	San Diego
Democratic	Assembly Candidates	Brad Sherman Congressional	Los Angeles
American	Novem-	Sheila Kuehl	
	Assembly	Wally Knox*	
	State Senate Candidate	¢ Voter	
	Legislature		
