GPE	ORG	PERSON	NORP
Santa Monica	Accountability for Board	Gov Info	Santa Monicans
SANTA MONICA - 	ENERA	CA 90402	
U.S.	School Board BULK	Lee Hines	
ENDORSED	Alan & Liz Freedman	Joyce	
Santa Monica-Malibu Board of Education	Dennis &	Paul Rosenstein	
Santa Monica	basics & beyond	William Mortensen	
yt	¢ College	Gene Gebman	
	AYSO	Michael Hill	
	School Board	Dan Ross	
	Connie Jenkins	Fred Horowitz	
	the Gail Dorin Music Foundation	Mark Borenstein	
	Herb & llona	Ralph Mechur	
	WHAT WILL HARLAN DORIN	Pam Brady	
	Advocate	Julia Brownley	
	The B.E.S.T.* Choice	Darla Bass	
	the Board First Federal Bank of California  ~~ WHO IS HARLAN DORIN	Suzie Mitchell	
	Board	Katz	
	¢ Prepare	Neil	
		Terri Cohen	
		Mark Benjamin	
		Joyce Abbott	
		Harlan Dorin	
		Larry Tistaert	
		Nick Koutouratsas	
		Bonnie Freeman	
		Jean Ann & Bob Holbrook	
		Marty Mirabal	
		Joan House	
		¢ Volunteer	
		Missy Zeitsoff	
		Michael Demby	
		Peggy Lyons	
		Carrey	
		Ann Greenspun	
		Iam	
		Paid	
		CA 90402	
		Brian Cohen	
		Jim Mount	
		Bachelor Degree Widower	
		Joanne Leavitt	
		Bob & Louise Gabriel	
		Pat Barrett	
		Rena McKinzie	
