GPE	ORG	PERSON	NORP
US	POLITICAL	Gov Info	Democrat
Israel	USA Direct	CA 91203	
Pasadena	Glendale	Barry Gordon	
	US Congress	Howard Berman	
	Health Security	Colin	
	Sacramento State College	Barry	
	CA	Barry Gorpon	
	Congress	Murphy	
	California Democratic Party	Barry Gordon	
	Loyola Law School	Gail	
	Cantor		
	American Federation of Teachers		
	the Radical Right		
