GPE	NORP	ORG	PERSON
L.A. County	§	AARP	Winston Smith
US		American Association of Retired Persons	Parks
L.A. City		POLITICAL	Wes
Santa Monica Bay		L.A. County League of Women Voters	Nancy Daly
Los Angeles		Prop	Maps
		CA 90064	Gov Info Pit Campaign
		L.A. County Commission for	Lea
		Citizens for Safe Neighborhood Parks	Suite
		NON-PROFIT	
		Council & Big Brothers of L.A.	
		P. K WILL	
		K	
		PDR	
