GPE	ORG	PERSON	NORP
Los 	Marcus Conant	Pete Wilson	Democrats
SAN JOSE	the California State Assembly	marijuana	Republicans
Sacramento	California Academy of Family Physicians	John Vasconcellos	Californians
SANTA MONICA	the California Nurses Association	CA 90401	
California	PASEO DE SA	Gil Garcetti	
San Francisco	CAPITOL OFFICE STATE	Wilson	
CALIFORNIA	Legislature	Pete Wilson’s	
Angeles	Prop	Mike Hennessey	
California	Legislature	marijuana	
