GPE	NORP	ORG	PERSON
the Republic American	American	elp	AO BA
America	Americans	Reggae	G. Bob Dole
Washington	Republican	Congress	Dole
SE	American	GOP	Bill Clinton’s
	Democrat	Congress	Bob Dole
	Republican	First Street	A. Bob Dole
	Americans	publican Congress	Bill Clinton
		Sense Product Liability Legal Reform Act	Candi linton
		the Republican National Committee Office of the Co-Chairman	Clinton
			Bob Dole
			Medica
			Gira
			Bill Clinton
			Boge
