GPE	NORP	ORG	PERSON
XAVIER	JULIAN	KUEHL	Voter Guide
West Hollywood		Lighting & Recreation	Henry WAXMAN
Los Angeles		Taxes	Monica Blvd
		California Civil Rights Initiative	Kevin Murray
		Repair & Renovation of School Facilities  |Campaign Contributions & Spending Limits	Tom HAYDEN  Candidates
		Limits Restrictions	Voter Approval
		ALBERT GORE JR	
		SHEILA	
		Bond Measure	
		Phone Home: Work:	
		Health Care Consumer Protection	
		HMO Regulation	
		Stonewall Democratic Club’s	
		Facilities Bond	
		County Jails  |Health Care Consumer Protection	
		Stonewall Democratic Club ID#	
		USA Direct	
