GPE	NORP	ORG	PERSON
California	Californians	PROP	Volunieez
Mississippi	http//www.prop210.org	CALIFORNIA MINIMUM WAGE	DCT Ta ROT oC
CALIFORNIA	Californians	MAIN	
Los Angeles	http//www.prop210.org	THE BUYING POWER OF THE MINIMUM WAGE	
San Francisco		California Small Business Owners Alliance	
California		AFL-CIO *	
LABOR		WOMEN	
California		California Labor Federation	
Mississippi		Advocacy Institute	
CALIFORNIA		Prop	
Los Angeles		California School Employees Association	
San Francisco		California Teachers Association	
California		NORTHERN CALIFORNIA OFFICE  ROPRSRSD	
LABOR		California Council of Churches *	
		Suite	
		SOUTHERN CALIFORNIA OFFICE	
		PROP	
		CALIFORNIA MINIMUM WAGE	
		MAIN	
		THE BUYING POWER OF THE MINIMUM WAGE	
		California Small Business Owners Alliance	
		AFL-CIO *	
		NORTHERN CALIFORNIA OFFICE	
		Advocacy Institute	
		California Labor Federation	
		California School Employees Association	
		Prop	
		Home Page:	
		California Teachers Association	
		SOUTHERN CALIFORNIA OFFICE Phone - day	
		Skills / Interests / Availability	
		WOMEN'S	
		California Council of Churches *	
		Suite	
