ORG	PERSON	GPE
POLITICAL	Gov Info	NRA
CALIFORNIA SENATE - GENERAL 	Phil Hawkins	California
Assembly	Hawkins	Sacramento
NEO	Phil Hawkins	CALIFORNIA
Senate	m%	U.S.
RESTRICTIONS	Phil Hawkins	
Assembly		
Senate		
the California Democratic Party		
Assembly		
DEMocRATIC Party		
