GPE	ORG	PERSON	NORP
New Jersey 07921	The National Federation of Independent Business	Clinton	American
D.C.	Forbes	Uncle Sam	Republicans
Washington	President Committee, Inc	Clinton	Americans
Washington	Ea PO Box	Ebbitt Grill	Americans
America	Medicare	Newt Gingrich	Democrats
Washington	NFIB	Bill Clinton	American
the United Kingdom	Medigap	Gingrich	Republicans
Germany	Forbes/NFIB		American
France	Medical Savings Accounts		American
America	NFIB		Republicans
U.S.	NFIB		Republican
Washington	Congress		Americans
n’t	NFIB		American
Washington	IRS		Republicans
America	NFIB		Democratic
Washington	Houses of Congress		Republican
Washington	the International House of Pancakes		American
Washington	Social Security		Democrats
America	NFIB		Democrats
n’t	Forbes/NFIB		American
Washington	the White House		Democratic
America	Senate		Americans
	Forbes/NFIB		
	Forbes/NFIB		
	the Congressional Budget Office		
	House		
	Congress		
	Medicare		
	NFIB		
	the Girl Scouts		
	Senate		
	GM		
	House		
