ORG	PERSON	GPE
POLITICAL	Gov Info Bulk Rate	the United States
ASSEMBLY	Tony Cardenas	L.A. County
CA	Boxer	Ste
EC	Jim Dantona	Sylmar
States Senators Feinstein		San Fernando Rd.
