GPE	ORG	PERSON
U.S.	"ON ni"""	Urge You
L.A.	Women Voters	Richard Riordan
Los Angeles	Los Angeles Police Protective League	William B. Harkness
Los Angeles	League of Women Voters	Councilman Marvin Braude  Chair, Environmental Quality Committee
	Public Safety Committee	Annette Hall
