NORP	ORG	PERSON	GPE
Joters	Vetere	Bs INE ‘Se	Hollywood Hills
	WY	John Geranios	Glendale
	un	John	Sacramento
	Burbank	Grandmother	
	Registrar of Voters		
	the Glendale News-Press		
	the L.A. Tax Collector		
	the News-Press		
	“‘He		
	the California Democratic Party		
