GPE	NORP	ORG	PERSON
CA95814	Democratic	POLITICAL	Gov Info
California		CALIFORNIA SENATE - GENERAL	Phil Hawkins
Sacramento		Non-Profit Org	Hawkins
U.S.		Big Insurance	Philip  Hawkins
		National Rifle Assn	Cozy
		Calif Bankers Assn	Morris
		Farmers	
		Senate	
		RJ-Reynolds	
		Big Tobacco’s	
