ORG	PERSON	GPE
POLITICAL	Betty Karnette	California
SENATE	Gov Info	Youngsters
State Senate	Schools	
Jobs and Crime	Betty	
AMPAIGNS	Hednsurle Opportunity	
CA 90801	-Karnette	
Betty		
Confronting Crime '		
the Los Angeles Unified School District		
