GPE	ORG	PERSON
California	A Homeowners Association	Maurice A. Priest
the State of California	Rent Control Restrictions Initiative	
California	Statewide	
	Mobilehome Rent Control Restrictions Initiative	
	State	
	GSMOL Chapter	
	Mobilehome Rent Control Restrictions Initiative	
