GPE	ORG	PERSON
U.S.	Social Security	Worteee Wei
D.A.	Society	JAMES KUEHL
U.S	SECURITY	HENRY A. WAXMAN 
LOS ANGELES COUNTY	MEASURES	TOM HAYDEN  STATE ASSEMBLY
U.S.	SUPERIOR COURT	BOB DOLE
LOS ANGELES	L.A Times	BILL MILLER
SANTA MONICA CITY	SENATE	
US	The Coalition for Senior Citizen Security	
JEOPARDIZES	OPPOSE	
CALIFORNIA	TAXBOARD	
WILL	KEEP	
CALIF	CONCEIVED	
	FEINSTEIN	
	SEVERELY	
	THE 60 PLUS ASSOCIATION	
	UNITED SENIORS ASSOCIATION	
	ITED	
	TLEMENT	
	CLOGGING COURTS	
	CANCER	
	AARP	
	ENFORCEMENT	
	LAWS PROTECTING WOMEN	
	SENATOR	
	CALIF CONGRESS OF SENIORS	
	OLDER WOMAN'S LEAGUE OF CALIF	
	ILL SENIORS	
	WELFARE	
