GPE	ORG	PERSON	NORP
LOS ANGELES COUNTY	Prop	Ed Davis	Hawaiian
Los Angeles County	VOTE	graffiti	
s County	LAW ENFORCEMENT	Steve Simonian	
Beverly Hills	Sierra Madre	Gov Info	
Los Angeles City	Los Angeles Police Protective League Association of Los Angeles	Frederick Freeman	
El Monte	Palmdale Sheriff's	McSweeney Alhambra Police Chief Russell Siverling	
San Gabriel	Calabasas Sheriff's	McSweeney	
Pomona	Inglewood	Dominick J. Rivetti	
Los Angeles County	California Organization of Police and Sheriffs	Glendora	
Santa Monica	Lancaster Sheriff's	David P. Newsham	
San Fernando	Pomona Police Officers Association  Rancho P. V. Sheriff's	Lawrence E. Lewis	
Culver City	La Canada Flintridge Sheriff's	Dennis Kies	
Hermosa Beach	Lakewood Sheriff's	Willie Williams	
Los Angeles County Sheriff	Signal Hill Police Officers Association	Marvin J. Dixon	
	El Segundo	Robert E. Moody	
	El Monte Police Officers Association	La Verne	
	Burbank	Linda Healy	
	Santa Clarita Sheriff's	Charles B. Hoover	
	Duarte Sheriff's	Richard Shaurette	
	El Segundo Police Officers Association Gardena	Stephen R. Port	
	Monrovia Police Officers Association	Oliver M. Thompson	
	Palos Verdes Police Officers Association Pasadena Police Officers Association Pasadena Police	Richard Odenthal	
		Chief Ronald R. Ingels	
		Steve Simonian	
		Paul W. Butler	
		Patrick Leonard	
		Daniel G. Cross	
		Bernard K. Melekian	
		James T. Butts	
		Joe Surgent	
		Ted Cooke	
		Chief Marvin D. lannone	
		Jon Engebretsen	
		Tim Grimmond	
		Michael Aranda	
		Joseph Santoro	
		David M. Singer	
		Ronald P. George Torrance	
		Ronnie Garner	
		Hourie L. Taylor 	
		Mel Nichols	
		Elizabeth Dickinson	
		Val Straser	
		Joseph DeLadurantey	
		Wayne Clayton	
		Randy E. Narramore	
		Marvin Cavanaugh	
		David A. Lawton	
		John Distelrath	
		John Broderick	
		Mike Quinn	
		Richard K. Propster	
		James E. Anthony	
