GPE	NORP	ORG	PERSON
California	Democrats	State	Willie Brown
California	§	The California Civil Rights Initiative	
		California Civil Rights Initiative	
		California Civil Rights Initiative /	
		California Civil Initiative	
		the California Civil Rights Initiative	
		the State Legislature	
		Los Angeles Times	
		The California Civil Rights Initiative	
		The California Civil Rights Initiative	
		the U.S. Civil	
		the California Civil Rights Initiative	
		The California Civil Rights Initiative	
		The California Civil Rights Initiative	
