ORG	PERSON	GPE
Assembly	Valerie Salkin	California
The Democratic Party	Gov Info	San Fernando
NAACP	Richard Yamauchi	
San Fernando Chamber of Commerce	graffiti	
Sylmar Business Watch	Sylmar Kiwanis	
the State Assembly	Bonnie Bernard-Jones	
Founder, National Council of Negro Women - San Fernando Valley Chapter	Barbara Perkins	
Board of Directors Valley Chapter	Joe Sandoval	
State	Robert Winn	
Founder	Valerie Salkin	
	Valerie	
