GPE	NORP	ORG	PERSON
Pasadena	Democrat	Congress	the Doug Kahn for
Washington		Pasadena Schools Committee	Bill Crowfoot
		the Pasadena High School Graphic Arts Academy	Jeanette Mann
		Pasadena City Council	Doug Kahn
		the Pasadena School Board	Lisa Fowler
		Pasadena Board of Education Pasadena Board of Education Pasadena Board of Education	George Padilla Anne
		Congress Committee FEC	Jacqueline Jacobs
		Pasadena Community College Board	Doug
		Pasadena Board of Education Pasadena Board of Education  Public School	George Van Alstine
