GPE	NORP	ORG	PERSON
26th District	Californians	Office of National Drug Control Policy	Dan Lungren
3rd District	Formér	California Narcotic Officers Association	Brad Gates
35th District	Republican	Sacramento Young Republican Federation	Vic Fazio
Orange County	Californians	M.P.H.	James W. Silva
Newport Beach	Contra	California State Coroners Association	Disorders 
Los Angeles		United States Department of Health and Human Services	Bill Jones
35th Governor		The International Drug Strategy Institute	Sal Cannella
18th District		FA.C.P.M Conservative Care Specialists Medical Group	Eric A. Voth
Jr.		Association of Special Agents, Dept	Ross Johnson
M.D.		California Republican Party	Rob Hurtt
M.0.		Justice	Roger R. Stanton
California		California State Sheriffs’ Association	Barry McCaffrey
Sacramento		California Correctional Peace Officers Association	William Steiner
U.S.		CA District Attorneys Association	Larry Bowler
San Luis		California Reserve Peace Officers Association	Richard W. Riley
AFOSI		U.S. Drug Czar	Dianne Feinstein
Solano County		Birch Street	Janet D. Lapey
Fresno		Research Center for Chronic Pain	CA 92660
Sr.		CAUSE	Forest Tennant
Ventura County		M.D. Brottman Medical Center - Specializing	Chuck Quackenbush
L.A.D.A.		MacArthur Boulevard	James E. Rogan
San Bernardino County		Project of Citizens for Economic Progress	George Deukmejian
Charge		California Police Chiefs Association	Gary A. Condit
California		CA Police Chiefs Association	Pete Wilson
US		CADFY	Dick Ackerman
Kern County 		Committees of Correspondence, Inc. 	Bob Dole
Glenn County		Health and Human Services	Jayson A. Hymes
El Dorado County		State	Michael Meyers
Imperial County		California D.A.R.E. Officers Association	Donna Shalala
Mariposa County		M.D. F.A.C.P. 	Gil Garcetti
Inyo County		Community Anti-Drug Coalitions of America	Ron Packard
Costa County		California Peace Officers Association	Curt Pringle
Madera County		California Union of Safety Employees	Robbie Waters
Los Angeles County		D.A.R.E. America  Drug Use Is Life Abuse  Drug Watch International  Orange County Alcohol & Drug Advisory Board Partnership for a Drug-Free America	Steve Fournier
Del Norte County		United States Department of Education	Mike Nadeau
Colusa County		United States Drug Enforcement Administration Assembly	Robert Nishiyama
Mendocino County		Senate	Sheila Mariani
Marin County		Union of Safety Employees	Jim Molinari
Amador County		Concerned Citizens for Drug Prevention, Inc.	Coroner
Butte County  Sheriff Dennis Downum		CNOA	Mike Gilbert
Humboldt County		CA Department of Justice	Robert J. Skopeck
Norway		D.A.R.E. America  Drug Use Is Life Abuse	James Young
Modoc County  Sheriff		Sheriff’s Association	Jeff Hollis
Alameda County		Justice	Gary Schram
M.D.		CMA	Jerry J. Enomoto
Mono County		CA Union of Safety Employees	Douglas V. Duncan
Lassen County Sheriff Sherman Block		CAUSE	Scott Deacon
M.D. FACP		Houston’s Drug-Free Business Initiative (HDFBI	Bernhardt E. Faist
Alpine County		TAFB	Bill Cahill
Calaveras County		Association of Special Agents	James Harper
Jr.		Wildlife Protection Branch	James E. O’Brien
Lake County		National District Attorneys Association	V.P. CNOA
Fresno County		CADFY	Parliamentarian
Obispo County		Committees of Correspondence, Inc. 	Garth Tanner
Yuba County		Criminal Justice Administrators’ Association	Stan Welch
Kern County 		Ret	Robert W. Jensen
Stanislaus County		CA Bureau of Investigation	Daniel Paranick
San Luis		California Medical Association	Michael Prizmich
Glenn County		California D.A.R.E. Officers Association	Rodney K. Mitchell
Tulare County		Community Anti-Drug Coalitions of America	Jim Tuso
Solano County		Texas Narcotic Officers Association	Warren Rupf
Lassen County		Los Angeles County Chiefs Association	Eric A. Voth
Mariposa County		CA Dept	Tom Sawyer
Costa County		Law Enforcement Alliance of America	Mick Grey
Los Angeles County		U.S. Secret Service	Roger N. Matlock
Siskiyou County		CJAA	Public Policy
San Diego County		IDEA	Janet D. Lapey
Placer County		California Medical Association Alliance	Robert Doyle
