GPE	ORG	PERSON	NORP
US	SM	Pier	Americans
Ashland	USA Direct	¢	
Santa Monica	SMRR	ANN CHAPMAN	
California	Council	MARGARET R. FRANCO	
Santa Monica	City Neighbors Board	Monica	
	Incumbent Council	Kelly	
	College Board	MICHAEL FEINSTEIN	
	the Planning Commission	TODD HESS	
	School Board	BILL WHALEN	
	the Community Corporation	Olsen	
	Feinstein	Genser	
	the City Council		
