GPE	NORP	ORG	PERSON
SAN FRANCISCO	Democrat	CA	Art Pulaski
San Francisco	Republican	the California Labor Federation	Dan Walker
U.S.		CALIFORNIA LABOR FEDERATION	Debra Bowen
		AFL-CIO	Votre Gt eGainct
		SB	LY Reduce
		AFL-CIO NON-PROFIT	
		ASSEMBLY	
		Suite	
		Movembams	
		California Legislature	
