GPE	NORP	ORG	PERSON
NEW YORK	Republican	Princeton University	Buchanan
Delaware	Arizonans	FLAT	Milton Friedman
Phoenix	Republican	Economics	Pat Buchanan
New York	Republicans	Phones	Dole
Arizona	Americans	Tucson	Bob Dole
ARIZONA		Forbes	David F. Branford
New York’s		FORBES WINS	DELAWARE PRIMARIES
Kansas		Journal	Steve Forbes
Vermont		Congress	Forbes
Lamar		UEP SC	Bob Dole
New York		Forbes’ Flat Tax Plan	Bill Clinton
Washington		Alexander	Edward Korman
Iowa		Social Security	¢ Younger
New York Primary		the Social Security Trust Fund	Dole
Arizona		the Republican Party	Steve
America		Forbes	Yogi Berra
lowa		Presidential Primary	Alexander
Phoenix		Bedminster, NJ 07921	Steve Forbes
Sacramento		N Saisutupag	Forbes
New York		Vermont Coordinator	Bob Dole
Texas		P.O. Box	Saye
Florida			Jill Horist
Chicago			Dennis Myrick
VT 05819			Diana Denman
California			Bill Collins
St. Johnsbury			Robert Penna
Illinois			Larry Horist
Arizona			Suite
