GPE	ORG	PERSON
California	Senate	Bill
U.C.	the U. S. Department	Peter Behr
SB	the California Department of Corrections	Tien
California	Labor (Employment and Training Administration	Bill 224
	SB	¢
	Senate	\
	Sucn	Bill 224
	Senate	
	State	
