GPE	NORP	ORG	PERSON
California	Californians	Fritnd	Bill
’s	’s	Biblical	AJDS
Santa Clara Valley	Californians	Legislature	Bill
Sacramento		State	John Vasconcellos
California		imple-	John
USSR		Governmental Health	Tom Peters
Santa Clara County		Violence Pilot Project	Zip
California		the Joint Committee to Review	Deukmejian
U.S.		Silicon	
Sacramento		Assembly Ways and Means Committee	
San Jose		California Legislative	
		Legislature	
		California Youth Authority	
		Paseo De San Antonio	
		Assembly State	
