GPE	ORG	PERSON
Santa Monica Beach Hotel	City Council	John Adams Middle School
Sunset	Friends	Ron Fuchiwaki
Sunset Park	Felipe Lopez	Ken Genser
Oak Street	the City Council	Richard Bloom
Santa Monica	the Friends of Sunset Park Board	Bill Josephs
California	Begin  Neighborhood	Kelly Olsen
Ashland	the Board  Friends of Sunset Park	Pico To Ocean Park Bwo
Oak fi Held	City Council	Ed Wortz
Sunset Park	the Police Department	Lois Andrews
Santa Monica	Friends of Sunset Park	Richard Kuyama
Lemon	the “Honorary Friend of	Doug Biagi
Santa Monica’s	NEWSLETTER	Ed Marusich
	Traffic Management	Don Glenn
	UCLA	Paul Foley
	the Planning Staff	Regula Ziegler
	the Los Angeles County Psychological Association Disaster Response Team	Kelly Olsen
	the City Council	John Ezell
	Permit Parking	Joan Charles
	Mt. Olive Lutheran Church	Photo
	City Council	Euclid
	DMV	Merrihew
	Friends of Sunset Park	Monet
	tal Programs Division	Karen Comegys
	EIR	Resident
	another City Council	
	California Vehicle Registration	
	California I.D.	
	the Parking and Traffic Engineering Division	
