GPE	ORG	PERSON
Los Angeles County Lifeguard Association	Homecare Workers Local	Don Knabe
US	California Association of Professional Employees AFSCME District Council	CA 90057
Los Angeles County Firefighters	Association of Los Angeles County	
Los Angeles County Probation		
Los Angeles		
