GPE	ORG	PERSON
Celia	BOARD of EDUCATION	Bruce Green Toni Dragon 
Santa Monica City Council	SMMUSD Special Education Advisory 	Yvette Cloutier
Santa Monica College Board of Trustees  Hon	First Presbyterian Nursery School	Alan Buckley
Zina	Rebecca Urias	Karen Farrer
Santa Monica College Chair	Phyllis & Charles Lindner	Nancy Cattell
Santa Monica College	Chris & Doug	Todd Hess
Santa Monica 90405	SMMUSD	Rosemary Sampson
Santa Monica	Gloria & Willard Huyck	Dorothy Chapman
Des Moines	UCLA Environmental Policy  Hon	Annette Shamey
Santa Monica 90405	Women’s Political Caucus	Joseph Karr
California	Kathy & William Rasmus	Nancy Dawson
Santa Monica	Bill & Dee Putnam	Peggy Lyons
Iowa	Santa Monica College Board of Trustees	Dale Franzen
	Santa Monica College Chair	Bonnie Freeman
	Santa Monica Malibu Board of Education	Betsy Hiteshew
	Board of Education	Jana Emhardt
	Board of Trustees  Hon	Barbara Bauer
	Charles & Dorothy Green	Laurie Newman
	Andrea Hricko	Barbara Gedanke
	Santa Monica College Board of Trustees  Hon	Dorothy Ehrhardt-Morrison
	Santa Monica Chamber of Commerce Co-Chair	Diane Goodwin
	Irene & Sam Zivi	Debrah Wiley
	PICSI	Paul Rosenstein
	Blase & Theresa	Mark Benjamin
	SMMUSD Board of Education	Barbara McDonough
	Hon	Docia Zavitkovsky
	FPPC	John Froines Douglas & Miyako
	Consultant, Entertainment Partnership	Ramona Merryman
	the Board of | 	Herbert Roney
	ES Reconstruction Committee	Mary Kay Kamath SMMUSD Board of Education
	Booster Club	Maria Olmos
	Site Improvement Committee	Karen Paris
	SCHOOL	Susan Madley
	SMMUSD BOARD of EDUCATION	Susan Shapiro
	School Board	Sharon Armstrong
	B.A. State University	Julia Brownley
	Development Advisory	Mary Hartzell
	Chair of School Age Child Care Parent Advisory Committee	Sharon Ryan
	Education	Patrick Nichelson
	ACCOUNTABILITY	Emelita Martinez
	Reading Recovery Program	Kathie Evans
	Televised School Board	Gretchen Goetz
	Pel	Jeff Rosenfeld
	Board of Education	Dennis Zane
	Parent Association	Tony Haig  Hair
	Legislative Coordinator	Bob Gottlieb
	FAMILY	Judy Abdo
	Board	Jennifer Polhemus
	the SMMUSD Child Care	Kathy McCreary
	Medical Laboratory Technologist	Linda Gordon
	John Adams Middle School	Ilona Katz
	PTA Legislative Coordinator	Judith Meister
	PTA	Millie Rosenstein
	New Principal Selection Committee	Louise Jaffe 
		Judy Sheridan
		Talat Mirza
		Bill Josephs
		Robert Resnick
		Katherine Shamey
		Monica
		Eric Parlee
		Esther Simon
		Joan Abrahamson
		Margaret Franco
		Robert & Joyce Boucher Maureen & Drew Bradford
		Miriam Mulder 
		Michael Sigman
		Carl Rogers
		Science Major
		Son
		961289
		Husband
		Tony Haig
		Sidney Wolinsky
		Dorothy Chapman
		Charles
