ORG	GPE	PERSON
Bulk Mail	Californian	Dan Walker
FBI	Torrance	Dan
State Assembly	the United States	Edward Estrada
Torrance Police Officers Association	California	Crime Victims United
Stiih	Sacramento	JY Voted
Defeat Rose Bird	Venice Beach	Dan
Rose Bird		Debra Bowen
Assembly		Nan Walker
Workers’ Compensation		Dan Walker
the State Assembly		
