GPE	ORG	PERSON
California	the California Federation of Teachers	Delaine Eastin
L.A. County	the California Professional Firefighters	Voter Guide
California	California Teachers Association	Ronald Reagan
	The California Chamber of Commerce	Sth
	the National Federation of Independent Businesses	Pat Libby
	Prop	Lenny Goldberg
	Sample Newsletter Article	Ronald Reagan
	PTA	Sth
	the School and Community Investment Initiative	Delaine Eastin
	city council a. school board	
	California Coalition of Law Enforcement Agencies	
	the Sierra Club	
	Congress of California Seniors, Health Access	
	the California Tax Reform Association	
	California Teachers Association	
	the California Professional Firefighters	
	the Sierra Club	
	city council	
	the California State Association of Counties	
	Sample Newsletter Article	
	PTA	
	California Coalition of Law Enforcement Agencies	
	the California Federation of Teachers	
	Congress of California Seniors, Health Access	
