GPE	NORP	ORG
California	Californians	ON COMMUNITY
Ittakes	Californians	Prop
Pasadena		IMPROVEMENT
Emeryville		Taxes
San Jose		Prop
Sacramento		Anza Blvd
Yerba Buena		IMPROVE
California		Bunker Hill
San Francisco		COMMUNITY
San Diego		HURTS AFFORDABLE HOUSING 
Los Angeles		Burlingame
Santa Monica		
Horton Plaza		
Oakland		
Los Angeles		
