GPE	ORG	PERSON
L.A. County's	GSMOL	Doris Boss
CALIFORNIA	Hotline	Doris
Los Angeles	Prop	buff
California	the State Legislature	
Sacramento	CALIFORNIA	
GARDEN GROVE	Social Security	
LOS ANGELES	InterNet	
California	Doris Boss	
	PS and Government Information	
	GSMOL	
	State	
	UNIVERSITY OF CALIFORNIA	
