GPE	ORG	PERSON	NORP
Santa Monica	POLITICAL	Kuehl	Assemblywoman
US	USA Direct	Gov Info	
Santa Monica	Assembly	Pearl Ave	
NRA	the State  Assembly	CA 90405	
	ASSEMBLY	Sheila	
	Los Angeles Police Protective League	JAMES KUEHL	
	California Organization of Police and Sheriffs	SHEILA KUEHL	
	California Association of Highway Patrolmen	Sheila Kuehl	
	Peace Officers Research Association	Law Enforcement	
	California Correctional Peace Officers Association		
	Los Angeles Professional Peace Officers Assn		
