GPE	ORG	PERSON
America	State	Clinton
Washington	EITC	Reagan
America	Created nine Economic Empowerment Zones	Bill Clinton
Florida	the Defense Reinvestment and Conversion Initiative	Harry Truman
	95 Enterprise Communities	Brady
	EET	
	Republican Administration	
	the Clinton Administration	
	the Peace Corps	
	Secondary Education Act Reauthorization	
	the National Service Act	
	National Service	
	the Safe and Drug-Free Schools Act	
	Printing Donated	
	the Student Loan Reform Act	
	White House	
	the California Desert Protection Act	
	Democratic National Committee	
	WH	
	DNC	
	AmeriCorps	
