ORG	GPE	NORP	PERSON
BLACK & 	Pasadena	Bae	Republi
Demcaenae	Janda	Republican	Schill
Assembly	California	Sp	Newton Russell
jvisi national dene	Gana	Democrat	Sch
Boland	KeeD	Democrats	Gre
Sacttinen	Glendale	Republicans	Paula Boland
State			Hee
La Crescent			mony ponent
Sea cratic Party			Adam Schiff
Angeles Unified School District			Seewok
BIR			unl
Legislature			Py Adam
Burbank			\
Eos			Schiff
Times			colvin
Bivens Senate District			Scnitt
Faas			Assemblywoman Paula Boland
Tiron			Bea
Schiff			su lough-on
Congress			N. San Fernando Blvd
Senate			
SS			
Assembly Public			
Burbank			
