GPE	ORG	PERSON
LOS ANGELES COUNTY	BBY	Gov Info
Saale	Teresa Hughes Fb	Tom Hayden
Los Angeles County	L.A COMMUNITY	Tommy Randle
BT	L.A. UNIFIED SCHOOL DISTRICT	Gil Garceiti
EAST LOS ANGELES	SAREE	John Birke Bas
BRAD	Federation of Labor	Don Knabe
SANTA MONICA CITY	ERM	Bob Hertzberg
Los Angeles County	BH	James Kuehl
California	HAWTHORNE CITY COUNCIL 	Xavier Becerra
WEYL	AFL-CIO	oc ulin
	AGA	Tony Cardenas
	Preserve Prevailing Wage	Paul Vincent Avila
	VOTE LABOR	ks cay nha ia Lerma
	BO	Jon M. Lauritzen C0
	ALS	Ge
	CALIFORNIA ASSEMBLY	fd chutes
	OBR	Diane Trautman
	CCEA SR 3 Sse	David Cochran
	eaWaldron  Office No.	Shelia
	COPE	Louis Caldera
	KS PER	PLT Wally Knox
	JACK	Carl Washington
	Rann cee PRE Lo	Howard L. Berman
	FPR	Jose David Trujillo
	EC	Edward Vincent
	Sanchez-Gordon	JANE
	POLS	Roderick Wright
	the California Labor Federation	Gary McCaughan
	TT	Dick Floyd
	HMO	Lucille Roybal-Allard
	No Recommendation  Proposition	GERRIE
	TN	Diane Martinez
		Martin Gallegos
		Matthew G. Martinez
		valet + RTE EE
		Grace Napolitano
		Kevin Murray
		Bob Davis
		DOUG KAHN
		Julian C. Dixon
		Ere
		Antonio Villaraigosa
		David Levering
		Paul Rosenstein 
		Juanita M. McDonald
		Henry Waxman
		Susan Amaya
		Martha M. Escutia
		Cal Vet
