GPE	NORP	ORG	PERSON
California	Cannabis	American Cancer Society	Marijuana
San Francisco		Buyers Club	Dennis Peron
New York		Drug Policy Foundation	Vasconcellos
American Glaucoma		The Ainerican Medical Association	George Soros
		The California Medical Association	marijuana
