GPE	NORP	ORG	PERSON
U.S.	American	NAFTA	Americorps
Mexico	North American	Associated Press	
the United States	American	Defense	
Canada	American	Social Security	
Montana	Americans	ROSS	
Washington	American	GATT	
New York State	English	Medicaid	
America		Congress	
the United States		Euthanasia	
Washington		Reform Party	
the United States		Social Security	
Washington		Amtrak	
Bosnia			
U.S.			
U.S.A.			
