GPE	NORP	ORG	PERSON
Washington	American	KAKA KKK	Forbes
America	Americans	Education	Sabina
Washington	American	Commerce, Energy	Medigaps
America	American	HUD	Steve Forbes
Washington	Americans	Social Security	Kenneth Totilinson
America		Forbes	P.O. Box 1018
U.S.		Reader's Digest	Histo
AUS		U.N.	Steve Forbes
US		Social Security	Se
the United States		Radio Free Europe	
ARAM		Forbes	
Washington		Forbes for Presxient Commatiee, inc.	
America		Bedminster, HJ 07921-9954	
		Committee, inc.	
		PHONE	
