GPE	ORG	PERSON
California	the Assembly	Sylvia Rodriguez
Ste	National Council	Valerie Salkin
Sylmar	Assembly	Barbara Perkins
U.S.	USA Direct	Sheila James Kuehl
	the court	Assemblymember Sheila Kuehl
	Chatsworth	Valerie
	CA 91342	Slap
	FPPC	Harry Zelig
		Diana Preice
		Valerie Salkin
		Barbara Simmons
		Kim Fitzsimons
		John
		Wendy Herzog
		Spousal Abuse
		Woman Shot Outside Court
		David Bloom
		Paul Hefner
		David Greenfield
		Eileen M. Zelig
