GPE	ORG	PERSON	NORP
California	Media Office	Prop	Analyst
San Francisco	The Chamber of Commerce	Analyst	
Los Angeles	KEEP		
California	Prop		
Sacramento	CA 94103		
	7th Floor		
	The  School and Community Investment  Initiative		
	Phone		
	Legislature		
	the National Federation of Independent Businesses		
	CA 90057		
	Legislative Analyst		
	Prop		
	the Franchise Tax Board		
	the California Budget Project		
	Legislature		
