GPE	NORP	ORG	PERSON
D.C.	Americans	Improving Education	GoRE
WASHINGTON	American	CLINTON	Clinton
America		Creating AmeriCorps	Clinton.is
America		GENERAL COMMITTEE	GORE
U.S.		Education	Pell Grant
America		The Clinton Administration	Bill Clinton
		Direct Lending	Reno
		P.O. Box	Clinton
		White House Conferences on Character Education	Head Start
		the Technology Learning Challenge	Clinton
		the Improving America's	Gore
		the Information Superhighway	Clinton
		Education Riley	
		Administration	
		Hope Scholarship	
		the Information Superhighway	
		Technology Literacy Challenge	
		the College Work Study	
		Challenge	
		The Technology Literacy Challenge	
		Challenges & Protecting Our Values  Updated	
