GPE	ORG	PERSON
Santa Monica	marijuana	Marijuana
Sacramento	THC	Marinol Opponents
Columbus	BACKGROUNDER Medical	Marinol
Ohio	Prop	marijuana
Illinois	the Food and Drug Administration	CA 90401
	Unimed Pharmaceuticals of Buffalo Grove	marijuana
	FDA	Marinol
	Roxane Laboratories	
