GPE	NORP	ORG	PERSON
Santa Monica City Council	Santa Monicans	Shari	Asha Greenberg
greener city		the city council	Shari
Santa Monica Fire		Samohi Alumni Association	Frank
Mid-City		Concerned Homeowners	Thomas Tolman
Santa Monica Band Parents’ Association		Asha, Frank	Mae Laborde
Sunset Park		Asha, Frank and	Jean Sedillos
Santa Monica's		Sierra Club National Headquarters Legislative Aide	Cynthia Holbrook
Santa Monica's		Jacquie Banks	Juan Mirabal
Santa Monica High School		Pier Restoration Corporation Chair	Alan Goldsmith
Santa Monica		Prop	Asha Greenberg's
Santa Monica		Friends ss Asl ae Greenberg	Asha
Santa Monica’s		Bob & Louise Gabriel	Wallace Peoples
Santa Monica City Co		Kent & Kay Colberg	Asha, Frank
Santa Monica City Council		Al & Suzy	Rena Mckinzie
U.S.		Lindee & Harvey Rosen	Frank Schwengel
Santa Monica		SMMUSD School Board	Rosalio “Rosey” Casillas
Santa Monica City Councilmember		Bayside District Corporation Chair	Shari Davis
		City Council	Asha Greenberg
		Karon Larmore	Pico Neighborhood Assocation
		SM	Ke ed
		Santa Monica College Trustee	Ken Kutcher
			Harlan Dorin
			Steve &
			Graham Pope
			Frank Schwengel
			Sharla Boehm
			Mario Pascale
			Saxe Dobrin
			Parks
			Evans
			James Mount
			Carl Lambert ¢ Fred Plotke
			Shari Davis
			Sherry Kellogg
			William & Betsy Emmanuel
			Dorothy Dellinger
			Roberta Goldfarb
			Neil Carrey
			Wendy Kramer
			Larry Vredevoe
			Jo Katz
			Ruth Ebner
			June Coleman
			Marilyn Vredevoe
			Pat Patton
			Elaine Dobrin
			Paul Leoni ¢ William & Sharon
			Chris Harding ¢
			Ashghig Arakelian
			Pam Brady
			Arthur
			Nancy Stein
			Barbara Tenzer
			Andrea Stein
			Bob Sullivan
			Irma Vargas
			Andy Layman
			Herb Katz
			Gerald & Catherine Iba
			Joel Goldfarb
			Ralph Di Meglio
			Stephanie Hayutin
			Terri Cohen
			Rosario Perry @ Eric Parle
			¢ Haig & Tamara Matossian
			Matt Millen
			Jon Sedillos
			Leigh Kavanaugh
			David Hibbert
			Herman Borden ¢
			Edmund Towle III
			Santa Mor
			Tom Trainor
			Bill Coleman ¢
			Matt Kanny
			John Marias
			Richard Grossi
			Robert T. Holbrook
			Jan Ludwinski
			Jerry Bloom
			William Spurgin
