GPE	PERSON	NORP	ORG
California	Kevin Starr	we.can	Commonwealth Club
California	Tom Hayden	European	Emerson
San Francisco	Rodney King	Californians	Tikkun Magazine
Los Angeles	Zip Code	Californians	Reform
California	TOM HAYDEN	Americans	California 90064
Los Angeles	Bryce	Californians	Nintendo
Berkeley	Thomas Jefferson	Generation X	SIGKids
Fresno	Russell Jacoby	Asians	Latinos
California	Joel Kotkin	African-Americans	California Service Corps
Sacramento	Kotkin	French	Ecological Sustainability
Machiavellian	Martinez	Irish	Hawken
Wired	Garcia	Californians	The Ecology of Commerce
Poland	Lee	American	the U.S. Centers for Disease Control
Laos	Jerry Brown	South African	the Special Interest State
El Salvador	Kotkin	Machiavellian	the Ecological Era
San Francisco	Paul Hawken		Sustainability
America	Nguyens		Bell
California	Fernand Braudel		the National Academy of Sciences
Los Angeles	Nguyen		
Los Angeles	Machiavelli		
Mexico	Matthew Fox		
the United States	Daniel Bell		
California	Barbara Tuchman		
New York’s	Vaclav Havel		
Rodriguez	Nelson Mandela		
Orange County	Havel		
Germany	Bryce		
Japan	Jefferson		
Wong	Richard Nixon		
America	Nixon		
California	Nelson Mandela		
U.S.			
Machiavelli			
California			
America			
Washington			
Machiavelli			
Czechoslovakia			
South Africa			
California			
Sacramento			
U.S.			
Machiavelli			
California			
South Africa			
America			
