ORG	PERSON	GPE	NORP
Congress	Doug Kahn	Washington	Democrat
Glendale News-Press	Kahn	Arroyo	
Congress	Doug	Glendale	
City Council	Margaret Carter	County	
YALE	ner -.	CALIFORNIA	
Kahn	Doug Kahn	Gabriel Valley	
State Bar No	DOUG KAIB	Pasadena	
POLITICAL	Doug Kahn	california	
California League of Conservation Voters	Carlos Moorhead	Seattle	
Glendale	Annenberg	US	
Congress	DAVID GREER		
California Democratic Party	Kahn		
California Federation of Labor	Barry Gordon		
AFL-CIO	CA 91203		
US Congress	Gov Info		
SN			
California Federation of Teachers			
National Organization for Women			
