PERSON	GPE	NORP	ORG
Steve Forbes	Washington	American	Radio Free Europe
Sabina	U.S.	Americans	Forbes
Medigaps	America	Republican	Commerce, Energy, Education
Steve Forbes	the United States		U.N.
Reagan	Washington		HUD
R. Emmett Tyrrell			Social Security
Steve Forbes			Radio Free Europe
David Broder			REAL SOCIAL SECURITY
Jr.			Forbes
Donald Lambro			Forbes for President Committee, Inc.
			The American Spectator
			President Committee, Inc.
			Contributions
			The Washington Post
			The Washington Times
			Bedminster, NJ 07921-9954
