GPE	ORG	NORP	PERSON
Ashland	SMRR	Americans	¢
Sacramento	Cele & Meyer Feldgreber		Monica Pier Restoration Corp.
Santa Monica	SM		Councilmember Olsen
Santa Monica	Santa Monicans for Renters Rights		Tom Hayden
California	SMRR Council		Willis
Goode	City Council		Genser
	SMRR		
	the City Council		
	the SMRR Team		
	State		
	RENT CO) BOARD		
	our City Council		
	Democratic Action  KELLY OLSEN		
	KEN GENSER  Council		
	the Planning Commission		
	Lacey Goode Doug Willis		
	Rent Board		
	Community Corporation Board		
	Feinstein		
