GPE	ORG	PERSON	NORP
US	POLITICAL	Barbara Friedman	DEMOCRAT
Los Angeles County Fire Fighters	CA State Assembly	Gov Info	
	California Nurses Association	Bob Hertzberg	
	California Democratic Party	Barbara Friedman	
	CA State Assembly	paul	
	PS	Bob	
	the State Assembly	Assemblymember Barbara Friedman  am	
	California Teachers Association	Assemblymember Barbara Friedman 	
	¢ Democratic Party of the San Fernando Valley	Bob Hertzberg	
	National Organization for Women/SFV-PAC		
	the  Assembly		
	Southern California Alliance of Law Enforcement		
	the Radical Right		
