ORG	PERSON	GPE
the Department of Corrections	Joint Venture	California
Joint Venture		U.C.
the Department of Corrections		Santa Barbara
SACRAMENTO @		
FRIENDS COMMITTEE ON LEGISLATION OF CALIFORNIA		
the Department of Correction’s		
the Department of Corrections		
Joint Venture		
Vote NO on Proposition		
