GPE	ORG	PERSON
n’t	USA Direct	CA 91401
US	DEMOCRAT STATE ASSEMBLY	Sherman Oaks
	State Assembly	Neighborhood Watch Programs
	The Hertzberg Committee	Bob
	Executive Board	Chandler Bivd
	the Los Angeles Alliance for a Drug Free Community	Bob Hertzberg
	Southern California Alliance of Law Enforcement	
	Hertzberg  Association of Los Angeles	
