ORG	GPE	NORP	PERSON
LIE	California	Southern Christian Leadership	Cal State Student Association
Latino Civil Rights Network		American	Hadassah
National Council of Jewish Women		Feminist	
California Faculty Association		Jewish	
United Farm Workers			
Workers' Rights Orgow#Zations			
NAACP			
California Family Planning Council			
Business and Professional Women			
Cal Student Association of Community Colleges			
Congress			
WILSON			
Girls Inc.			
Jewish Committee			
UC Students Association			
Vanguard Foundation			
California Labor Federation/ AFL-CIO			
AARP			
VOTE NO			
National Organization for Women			
MALDEF			
National Rainbow Coalition			
Asian Pacific American Legal Center			
California Seniors			
