GPE	ORG	PERSON	NORP
San Francisco	Legislative Analyst	Dan Walters	Californians
CALIFORNIA	KEEP	Sacramento Bee	
Sacramento	Prop	Wilson	
Los Angeles	CA 94103	Pete Wilson	
California	7th Floor	Tax Policy	
Cailfornia	the  Media Office	Ronald Reagan	
	Phone	+ Prevents Sacramento	
	HROUGHOUT	George Deukmejian	
	CA 90057		
	Prop		
	Legislature		
