ORG	PERSON	GPE	NORP
CALIFORNIA SENATE - 	Gov Info	California	Assemblywoman
POLITICAL	Adam Schiff's	San Francisco Area Lawyer	
Schiff	Willie Brown	San Francisco	
State	Adam Schiff’s	Sacramento	
San Marino Tribune	Sting Cbg	Sacramento	
Senate	Adam Schiff	US	
Pasadena Star News	Bill Lockyer	California	
The San Marino Tribune	Bill Lockyer	Hollywood	
Tribune	James Rogan	San Francisco	
Schiff	Paula Boland	Santa Monica Lawyer	
Burbank	Adam Schiff		
Non-Profit Org	Willie Brown		
Assembly			
California Republican Party			
Trial Lawyers			
