ORG	PERSON	GPE	NORP
TOUGH	Lu	U.S.	communist
FBI	Aoam Senter	US	Soviet
Swxined	Adam	the United States	Democratic
Federal Criminal Prosecutor	Adam Schiff	Czechoslovakia	
Department of Justice	Adam	Pasadena	
Miller/	Juvenile	South Pasadena	
the State Senate	Adam Schiff	US	
ET SD	Adam	California	
Burbank	Adam Schiff	Los Angeles City Firefighters	
California State Senate	Eve		
Stanford University	Jarvey Gilbert		
the California League of Conservation Voters	Anne Pursel		
Glendale Chambers of Commerce	Dave Golonski		
Harvard	Harry Knapp		
the Environmental Leadership Forum	Dorothy Cohen		
United Teachers of Pasadena San Marino	Adam Schiff		
Conservation Voters	Amedee O. Richards		
La Canada-Flintridge City Council	Carol Liu		
Burbank City Council	William Paparian		
CA	John Van de Kamp		
Charles & Jeanne Broberg	L. A. County Firefighters Assn		
Glendale School Board	Bob Kramer		
Burbank Police Officers Assn	George Padilla		
Burbank	George Van Alstine		
Crescenta Valley Town Council	Virginia Dalbeck		
Pasadena City Council	Patricia Martinez-Miller		
Burbank Teachers Assn	Bill Crowfoot		
La Canada-Flintridge School Board	N. San Fernando Blvd		
USA Direct	Joyce Streator		
California State Senate	Ted McConkey		
Pasadena Firefighters Assn	Solveig Traeger		
California Federation of Teachers	Jerald Van Orden		
Pasadena School Board	Rick Cole		
Burbank Firefighters Assn	Susan Spanos		
California Teachers Assn	Adam		
South Pasadena School Board	Lynda Rocamora		
San Marino  School Board			
California Organization of Police and Sheriffs			
Glendale Teachers Assn			
Pasadena Police Officers Assn			
