GPE	ORG	PERSON
CALIFORNIA	Department of Industrial Relations	CA CPI(W
	CA Lodging Industry Association	EXCLUDED
	CA Hotel and Motel Association	
	Purchasing Power of Increase	
	Federal Register	
	Economie Policy Institute	
	Liveable Wage Coalition	
	Industrial Welfare Commission	
	the Outgoing Rotation Group of 1995 Current Population Survey	
