GPE	ORG	PERSON	NORP
Iran	the Reform Party	Valley Forge	American
Thailand	Navy	Bill Gaylord	American
Saigon	Senate	God	British
Vietnam	Congress	Paul	American
Washington	the Liberty Bell	Howard Rutledge	Christian
America	the Reform party’s	Max	Indians
Washington	Post Office Box 96	Bill	American
Texas	Spirit	Ross	Jewish
Dallas	Quaker	Max Dat	the American Indian
Valley Forge	American Dream	Tony Volpentest	American
Washington	Congress	Ross	American
Ellis	EDS	Voodoo Economics	’s
Margot	Holiday Inns	Miranda	Americans
Pennsylvania	McDonald	Larry King	American
USA	National Television	God	American
Fort Worth	NAFTA	Tony	
Russia	GATT	Perot ‘96	
Fort Worth	the American Dream	Tony Volpentest	
America	White House	Lamm	
New York	Presidential	Lech Welesa	
Washington	The Office of Management	George Washington’s	
Japan	Budget	Benjamin Fell Mulford	
Hollywood	NAFTA	Benjamin Fell	
Texas	Medicare	George Washington	
U.S.	Intensive Care	Dick	
’s	Medicaid	Alexander Tytler	
Hollywood	the Reform Party	Mort	
Washington	Social Security	Mort Meyerson	
China	Social Security	George Washington	
Japan	The Dollar Crisis	Ross	
n’t	Social Security	Dolly Parton	
Mexico		Ross	
California		Ross	
USA		Pete Peterson	
U.S.		Paul Simon	
Washington			
’s			
Korea			
Washington			
Grow			
America			
