GPE	NORP	ORG	PERSON
U.S.	Democratic	VAN NUYS	Francine Oschin
Sherman Oaks	Democrat	CA 91423	Sherman Oaks
The City of Los Angeles	DEMOCRAT	Oschin for Assembly - ID	CA Permit No.
Sacramento		State Assembly	Xavier Becerra
Israel		Oschin for Assembly BULK RATE	Principal
Hertzberg		BOT	Francine Oschin
California		Democratic Club	Diane Feinstein
Los Angeles City Council		Chair	Marjorie Braude
		the Democratic Party	LAUSD Break
		State Assembly District	John Ferraro
		U.S. Senate	John Kennedy
		ASSEMBLY	Judith Hirshberg
		National Women’s Political Caucus	
		Democratic Party  Activities  Women’s	
		Stonewall Democratic Club	
		Los Angeles City Council	
