GPE	ORG	PERSON
California	Assembly	Jane M. Whitaker
Glendale	Burbank	TED MA
Los Angeles	Glendale	John Geranios
U.S.	State Assembly	John
	Proposition 187 Campaign Glendale School Board	Wildman
	National Tax Limitation California Correctional Committee Peace Officers Association Harold Ezell	Lew Uhler
	the Business Department	Scott Wildman
		Co-Chair
		Don Novey
