NORP	ORG	PERSON
BEILENSON	Congress	Anthony C. Beilenson
Americans	House of Representatives	Reagan
	Congress of the Anited States	
	the House of Representatives	
	Beilenson Campaign Committee	
	the U.S. Congress	
