NORP	GPE	ORG	PERSON
Democrat	California	California Republican Party Non-Profit Org  Crime	einaeaenna alana
DEMOCRATS		the California Republican Party	Bill Clinton
Democrats		Republican Party	
Republicans		REPUBLICAN	
