GPE	NORP	ORG	PERSON
California	LAUSD	California League of Conservation Voters	KKKKKKKKKKKKKKK***ECAR—-RT-SORT
Los Angeles County Fire Fighters Association	Roctatic	SIGN & RETURN TODAY	Bob Hertzberg
Santa Monica Mountains	ADDRESSEE	USA Direct	CA 91499-0098
Los Angeles County Quality	Japanese	SFV	Bob Hertzberg
UNITED STATES	Vietnamese	SFV Community Development Bank	Country Zip Code
NECESSARY		the Democratic Party	Sherman Oaks
Norwalk		Southern California Alliance of Law Enforcement	CA 90030-0450
Los Angeles County		Democratic Party of the San Fernando Valley	a ma
the State of California		NEEDED	Designate N. S. E. W.
Los Angeles		RG e Association of Los Angeles	Chandler Bivd
		the California Teachers Association	
		National Organization for Women	
		Businessman	
		Taxpayers for Clean Government	
		the Sherman Oaks Town Council	
		the State Assembly	
		Executive Committee	
		Commerce	
		BOB HERTZBERG	
		the Los Angeles Alliance for a Drug Free Community	
		the Valley Industry	
		The Hertzberg Committee	
		UA 0	
		E. Imperial Highway	
		Perjury	
		VOTER	
